GLOBAL_ID,advertisement_id
23446,62e9a64b-e58c-4cc3-9c4f-39f5af3876d0
23547,0d55fb34-01a2-46dd-8602-8a673f136434
23665,844dd954-b904-4666-a481-9a60d6c5ef01
23666,76b820dd-ee6c-4e86-a849-6a560cbcd5c0
23672,Opt-out
23732,753847f2-2a94-4224-9866-53ffb43bc929
23757,5663721e-4f2c-465a-a815-d9bde02d004b
23863,6e7bd6cf-4c20-4441-a6dc-f3bedb33f580
23923,Opt-out
23940,4a910349-11c5-4b11-aa22-d08b290ef553
23965,feabef3f-1f69-4a13-bcb8-a7cee6ff6747
24211,Opt-out
24229,ddc54cd3-1e87-4a00-a03f-a08bb8c60b04
24278,Opt-out
24310,54e90851-8d17-4585-a556-418f89c1f8ba
24347,d0416c74-c205-47bc-9a7b-367690bb2b15
24350,bf4d7ef0-0f42-4f2c-b64a-5ec9db028222
24401,Opt-out
24404,0462f5d9-fb2e-42da-9d0a-801ea7d5bca5
24438,Opt-out
24452,8af443f0-7d49-4797-b847-2769cb3e66e3
24553,65b1c87e-1e73-4c26-80e9-e3f3277e7958
24594,656b3165-495b-44f2-935a-1781d5a72c33
24665,Opt-out
24711,16b4040e-e858-4341-954c-d51a05581a30
24795,05597223-4fe3-4830-81ef-ff393b4b9f34
24821,Opt-out
24941,Opt-out
25075,e40b53e3-0333-40a8-adcd-a5f67df3bbea
25094,5c23aac4-bb5a-4937-af32-4a5b2bc45fc2
25142,c995b8ce-ce3e-4183-adba-42d90925930c
25243,de5c286c-2684-4716-9844-a70ace2cfd33
25287,Opt-out
25299,266ef3d7-c199-4cad-8b2f-02f0dc4ba3b2
25410,4ef0b5c2-a229-4320-aa16-f56d0aba0ecb
25428,28b3dd90-9af2-4a66-a0ea-20e942c97f7f
25490,1ca188e7-5440-49db-b550-f19f1eae52f3
25563,Opt-out
25567,E387AA2F-CA58-4196-81ED-BCCA8E136BFC
25605,Opt-out
25608,Opt-out
25623,3b3eef0e-9b5b-4c1e-906b-ecd27ac7bb72
25626,5b239322-cec5-4c66-9ac7-f6b9e99cf0c3
25645,011f3a3a-c6d3-49f8-bd84-465ca4402fad
25697,Opt-out
25801,f8395c46-cfed-45ca-975f-2ce44aefb715
25947,6ea2e3b5-02df-4fca-93f5-736d90fc16bd
25959,Opt-out
26026,2e3e68c8-0902-4c97-93ba-1a7f25a31248
26144,3963c84c-9c69-4369-9897-397f3a447ed2
26249,f97e51ee-ea93-4dfb-a180-44d38e26b556
26251,663c60c5-8164-4077-9943-8b1b284a0a39
26341,Opt-out
26349,949EC088-4906-40A5-83E4-BEC2153F6536
26365,df77b6f9-f251-4702-af03-0220cfd8ce23
26456,2450d1d9-e384-46f3-9b90-ad4c5d202511
26468,Opt-out
26508,c67a82ac-6e5d-4696-874e-48d7a319e76c
26690,D53F2A14-2F83-473F-B7BC-508D665F8036
26831,Opt-out
26902,74cd1360-113a-47e9-83fb-38e59b5fcea5
27038,33536431-4df0-4391-aedd-d6472a8a2f52
27048,2d47cef8-dbeb-42a6-a11d-eafde1993ed6
27092,a7b71b21-49ab-4cd9-8380-3cd938d3627d
27118,686f7b6d-d5f4-4870-abaa-bc8199f3069e
27236,323fb27d-b7d7-4dfc-9047-2fe9ceea7f04
27407,6ebdae55-f574-4df0-9fb7-448534d8157e
27561,25996918-bae6-4f20-931d-d4779f9d9cb9
27564,1c274fa1-47a3-4c05-b370-a751bcd8dc05
27583,1af64195-d335-4fcd-8613-e04eb322705f
27599,76b90ee3-5cb4-4330-bb84-0cdce3946870
27682,cb810d89-aad5-4932-909a-a8d5682408b9
27704,b3216626-0c84-4522-b75e-0fa48d484ac2
27739,8986bcd9-47e2-408e-b299-a92f2d9ac7c5
27878,63078700-88b4-41f5-a21c-1cc145682615
27888,dabe55c7-b2c3-4aa1-8a2f-de1c579f0cf0
28005,Opt-out
28020,57d33252-ac04-4bf0-92cc-8a9fe79c0177
28038,9962b136-3edd-4391-a4a0-c3fc95531a08
28061,1b6aa422-5eab-4860-ab1e-72572c96562f
28078,60f52067-06f9-4562-83d0-5f1f47028616
28229,eca2e17b-af80-449d-89e0-538896050ea5
28247,Opt-out
28298,Opt-out
28321,5243f330-d63e-4115-9171-6575b0b0aba5
28378,2e39ae61-3a53-41ba-af31-b15a22347ed4
28513,a6ffe198-2c5d-4712-9129-3a5d8ac1b141
28555,c4290c8c-5a03-40e9-a4c3-41fe09fa2b6d
28557,51fa1845-514b-4aa0-ad13-900dc8c8943f
28631,e089d881-7ec6-4028-9fc1-f73d102106d7
28640,Opt-out
28662,4b03c323-6348-4e47-a290-abf8ed096201
28684,Opt-out
28805,5c21337c-9819-4100-bae8-5397f4e16440
28966,Opt-out
29011,bb102a2d-9411-431c-bbe2-5a2f87fec9e2
29047,6d715e80-e6d6-4e87-9dcf-2e32bf810236
29049,Opt-out
29052,2d267003-8d98-4c01-a051-356d1dd75251
29119,Opt-out
29123,64a127e9-799c-4575-84bd-e3a1b4e8e8f0
29311,4c6695a8-c882-4e57-a2dc-c05ad99d6d05
29369,714edbef-1edb-4cd1-a506-01ebb6fb9408
29463,d2ce8872-359e-4544-909c-898d50a0247b
29473,ea18b9ab-ea9c-4469-9fbd-fc053fe435eb
29545,477eba97-ea36-43cc-a0f0-cf149dcf49e5
29655,5518d6a1-e3d7-4cf0-a046-27be35dacab4
29720,b8f44b29-cc18-403e-b6c2-b3bc86f7a459
29726,d1cb4ea3-a609-4417-ab9d-89b52dfcd560
29876,76273ab0-2765-49a1-96bc-d3d28f8ef764
29893,56b93c5c-ed6e-4aea-9242-2e8b4ba2ab98
29930,90a85b0e-02de-4424-9516-987bc1ef2a37
30064,0ab56a1a-f69c-4eed-ade3-1ba021c1fcf1
30072,62e6b555-f47b-4daf-940f-c580b07492ab
